,Fecha,Producto,Cantidad_Vendida,Precio_Unitario,Marca,Ingreso
837,2022-02-25,Dell XPS 13,8,1009.1381106722654,Dell,8073.104885378123
182,2022-02-26,Apple MacBook Pro,14,1812.0286623495372,Apple,25368.40127289352
968,2022-02-27,HP Spectre x360,17,1475.1035390627037,HP,25076.760164065963
695,2022-02-27,Asus ZenBook,15,386.7489642356329,Asus,5801.234463534493
615,2022-02-28,Asus ZenBook,3,1963.305000378094,Asus,5889.915001134283
314,2022-03-01,Huawei P40,2,280.47849419881373,Huawei,560.9569883976275
151,2022-03-03,Huawei P40,19,522.7629910846504,Huawei,9932.496830608357
993,2022-03-04,Apple MacBook Pro,8,1743.9661240528003,Apple,13951.728992422402
576,2022-03-06,Lenovo ThinkPad X1 Carbon,8,215.99084689189024,Lenovo,1727.926775135122
568,2022-03-07,OnePlus 9,6,425.4816694384373,OnePlus,2552.890016630624
490,2022-03-08,HP Spectre x360,13,770.6250220716234,HP,10018.125286931105
284,2022-03-09,Apple MacBook Pro,1,557.7259949662821,Apple,557.7259949662821
280,2022-03-10,Apple MacBook Pro,8,1400.3053053703275,Apple,11202.44244296262
127,2022-03-10,Apple iPhone 12,4,1737.5966173383185,Apple,6950.386469353274
986,2022-03-10,Samsung Galaxy S21,9,283.30378308064553,Samsung,2549.73404772581
950,2022-03-13,HP Spectre x360,15,453.4398419774428,HP,6801.597629661643
319,2022-03-14,Samsung Galaxy S21,13,1795.9207700295046,Samsung,23346.97001038356
636,2022-03-16,Dell XPS 13,3,1844.7242151978955,Dell,5534.172645593687
321,2022-03-17,Xiaomi Mi 11,18,436.31636794875067,Xiaomi,7853.694623077512
529,2022-03-18,Asus ZenBook,9,462.54644121647055,Asus,4162.917970948235
802,2022-03-18,Huawei P40,18,1034.259916215202,Huawei,18616.678491873638
348,2022-03-19,Huawei P40,4,1376.4119995244448,Huawei,5505.647998097779
617,2022-03-19,Samsung Galaxy S21,10,880.6544072188037,Samsung,8806.544072188037
739,2022-03-19,OnePlus 9,8,1002.8671898015521,OnePlus,8022.9375184124165
788,2022-03-20,Apple MacBook Pro,14,806.329994483678,Apple,11288.619922771491
657,2022-03-20,Xiaomi Mi 11,8,1397.0571710638364,Xiaomi,11176.457368510692
816,2022-03-21,Huawei P40,3,1193.4221932913101,Huawei,3580.2665798739304
604,2022-03-22,Dell XPS 13,19,213.3262255608044,Dell,4053.1982856552836
29,2022-03-23,Samsung Galaxy S21,17,1813.717704104956,Samsung,30833.20096978425
689,2022-03-23,Asus ZenBook,18,1144.4444145546854,Asus,20599.99946198434
135,2022-03-24,Apple iPhone 12,15,1061.6362354650641,Apple,15924.543531975962
249,2022-03-24,Apple MacBook Pro,14,1106.4471993460286,Apple,15490.2607908444
751,2022-03-26,OnePlus 9,5,1295.091590269746,OnePlus,6475.45795134873
966,2022-03-26,Dell XPS 13,5,1092.9747915327212,Dell,5464.873957663605
379,2022-03-27,Lenovo ThinkPad X1 Carbon,19,1538.3164738589414,Lenovo,29228.013003319888
437,2022-03-27,Samsung Galaxy S21,14,228.0933859794696,Samsung,3193.3074037125743
415,2022-03-27,Lenovo ThinkPad X1 Carbon,18,387.9604030860347,Lenovo,6983.287255548625
343,2022-03-28,Lenovo ThinkPad X1 Carbon,10,1891.6727373809758,Lenovo,18916.727373809757
792,2022-03-28,Lenovo ThinkPad X1 Carbon,12,1914.0271137483392,Lenovo,22968.325364980068
149,2022-03-28,Dell XPS 13,5,618.7366755373491,Dell,3093.6833776867456
806,2022-03-30,HP Spectre x360,11,339.5318776273744,HP,3734.850653901118
341,2022-03-31,OnePlus 9,11,614.566415701722,OnePlus,6760.230572718942
983,2022-03-31,Apple MacBook Pro,6,1463.3399191711162,Apple,8780.039515026698
996,2022-04-01,HP Spectre x360,18,1708.9241489374049,HP,30760.63468087329
653,2022-04-01,Huawei P40,18,705.7590209831242,Huawei,12703.662377696235
82,2022-04-02,Asus ZenBook,18,1035.6867289351285,Asus,18642.361120832313
52,2022-04-03,Samsung Galaxy S21,5,458.1570845724021,Samsung,2290.7854228620104
811,2022-04-05,Xiaomi Mi 11,4,1754.0211881415091,Xiaomi,7016.0847525660365
120,2022-04-05,Huawei P40,5,1198.9556027345866,Huawei,5994.7780136729325
708,2022-04-05,Asus ZenBook,19,757.6032199660331,Asus,14394.461179354628
554,2022-04-06,Asus ZenBook,16,1867.0623450870544,Asus,29872.99752139287
183,2022-04-07,HP Spectre x360,19,838.1795712757906,HP,15925.411854240023
38,2022-04-07,Apple MacBook Pro,5,718.075304077071,Apple,3590.376520385355
42,2022-04-10,OnePlus 9,17,1177.6129493550654,OnePlus,20019.420139036112
935,2022-04-13,Xiaomi Mi 11,19,1412.7749023335941,Xiaomi,26842.723144338288
659,2022-04-13,Apple MacBook Pro,15,1480.6176353556125,Apple,22209.26453033419
597,2022-04-14,Xiaomi Mi 11,15,1897.3463409757205,Xiaomi,28460.195114635808
269,2022-04-14,Apple MacBook Pro,4,260.87831762873464,Apple,1043.5132705149385
955,2022-04-15,Dell XPS 13,6,1284.042672569581,Dell,7704.256035417487
354,2022-04-15,Dell XPS 13,8,1348.85177371458,Dell,10790.81418971664
209,2022-04-15,Dell XPS 13,13,564.1182953705684,Dell,7333.537839817389
595,2022-04-16,Xiaomi Mi 11,2,898.2180226215313,Xiaomi,1796.4360452430626
56,2022-04-16,OnePlus 9,5,875.9143599720711,OnePlus,4379.571799860356
37,2022-04-16,Huawei P40,17,531.5537533938252,Huawei,9036.41380769503
743,2022-04-19,Apple iPhone 12,4,1433.3430926258548,Apple,5733.372370503419
718,2022-04-19,Samsung Galaxy S21,14,1373.3569058009375,Samsung,19226.996681213124
307,2022-04-19,HP Spectre x360,5,1944.7303916883443,HP,9723.651958441722
374,2022-04-20,Huawei P40,4,1351.3915712837738,Huawei,5405.566285135095
885,2022-04-20,HP Spectre x360,2,1074.8811340698126,HP,2149.762268139625
852,2022-04-22,Apple iPhone 12,13,889.5130618420412,Apple,11563.669803946535
383,2022-04-22,OnePlus 9,10,756.6473317252545,OnePlus,7566.473317252545
621,2022-04-22,OnePlus 9,15,425.0246422084576,OnePlus,6375.369633126864
175,2022-04-23,Apple MacBook Pro,11,703.390532626975,Apple,7737.295858896725
455,2022-04-23,Xiaomi Mi 11,8,1455.4510975564403,Xiaomi,11643.608780451523
601,2022-04-23,OnePlus 9,10,456.6743815944679,OnePlus,4566.743815944679
891,2022-04-23,Apple MacBook Pro,19,328.56098796408344,Apple,6242.658771317585
551,2022-04-24,Lenovo ThinkPad X1 Carbon,4,393.23715436297937,Lenovo,1572.9486174519175
18,2022-04-25,Asus ZenBook,6,917.541802721962,Asus,5505.250816331772
820,2022-04-26,Asus ZenBook,19,1881.1916600180127,Asus,35742.64154034224
8,2022-04-27,OnePlus 9,16,573.4265626637812,OnePlus,9174.825002620499
835,2022-04-27,Xiaomi Mi 11,9,463.1986792289491,Xiaomi,4168.788113060542
813,2022-04-27,Xiaomi Mi 11,2,227.15845437925088,Xiaomi,454.31690875850177
674,2022-04-27,Xiaomi Mi 11,6,488.1361861436628,Xiaomi,2928.817116861977
288,2022-04-29,Asus ZenBook,9,571.9017452257565,Asus,5147.115707031809
722,2022-04-30,HP Spectre x360,2,819.9943509572568,HP,1639.9887019145135
208,2022-04-30,Huawei P40,5,957.9285167485409,Huawei,4789.642583742705
720,2022-05-01,OnePlus 9,1,241.22389063684216,OnePlus,241.22389063684216
73,2022-05-02,Lenovo ThinkPad X1 Carbon,13,763.6900571519222,Lenovo,9927.970742974989
112,2022-05-02,Asus ZenBook,18,1858.2466669898504,Asus,33448.440005817305
538,2022-05-02,Dell XPS 13,19,876.3090627123848,Dell,16649.872191535313
234,2022-05-05,Asus ZenBook,8,1270.6815790830383,Asus,10165.452632664306
347,2022-05-08,Xiaomi Mi 11,5,714.0578236293013,Xiaomi,3570.2891181465066
50,2022-05-08,Apple iPhone 12,19,1878.1502289407836,Apple,35684.85434987489
179,2022-05-10,HP Spectre x360,4,1217.9013164399025,HP,4871.60526575961
715,2022-05-11,HP Spectre x360,3,637.9451774202856,HP,1913.8355322608568
578,2022-05-12,HP Spectre x360,11,1274.1038071865541,HP,14015.141879052095
839,2022-05-12,Dell XPS 13,3,1813.8464047351797,Dell,5441.539214205539
422,2022-05-12,Apple MacBook Pro,9,1098.6782143677506,Apple,9888.103929309755
929,2022-05-13,Apple iPhone 12,18,776.2250892704802,Apple,13972.051606868645
492,2022-05-13,Apple iPhone 12,6,1830.5643913579493,Apple,10983.386348147695
573,2022-05-17,Lenovo ThinkPad X1 Carbon,17,1959.8018918583086,Lenovo,33316.632161591246
854,2022-05-18,Huawei P40,17,995.7092787096014,Huawei,16927.057738063224
301,2022-05-20,Apple iPhone 12,10,1773.7347387349325,Apple,17737.347387349324
584,2022-05-22,Dell XPS 13,12,691.4698991952455,Dell,8297.638790342946
24,2022-05-22,Samsung Galaxy S21,16,1113.766554831724,Samsung,17820.264877307585
273,2022-05-22,Apple MacBook Pro,19,1869.1987073132202,Apple,35514.77543895118
727,2022-05-23,Samsung Galaxy S21,13,410.68024647818515,Samsung,5338.843204216407
539,2022-05-24,Asus ZenBook,13,707.8558316990782,Asus,9202.125812088016
624,2022-05-25,HP Spectre x360,12,1859.4332996874227,HP,22313.199596249073
229,2022-05-25,Lenovo ThinkPad X1 Carbon,6,318.0635563963469,Lenovo,1908.3813383780812
153,2022-05-26,Huawei P40,2,1892.834333891422,Huawei,3785.668667782844
186,2022-05-27,Xiaomi Mi 11,13,1617.863388858106,Xiaomi,21032.224055155377
336,2022-05-28,Apple MacBook Pro,14,1528.240399673121,Apple,21395.365595423693
716,2022-05-28,Apple iPhone 12,10,1907.8340826055874,Apple,19078.34082605587
241,2022-05-29,Huawei P40,19,1002.1172457798779,Huawei,19040.22766981768
590,2022-05-29,Lenovo ThinkPad X1 Carbon,2,1671.4376201197297,Lenovo,3342.8752402394593
310,2022-05-29,Xiaomi Mi 11,9,1756.6468557323076,Xiaomi,15809.821701590768
361,2022-05-29,Huawei P40,13,1830.0369061938236,Huawei,23790.47978051971
457,2022-05-29,Dell XPS 13,8,1161.6471612610858,Dell,9293.177290088686
953,2022-05-29,Apple iPhone 12,11,271.71036350850744,Apple,2988.813998593582
710,2022-05-30,Apple iPhone 12,15,806.4449058646288,Apple,12096.673587969432
344,2022-05-31,Dell XPS 13,17,912.6400713728304,Dell,15514.881213338118
848,2022-05-31,Dell XPS 13,6,200.43320553722407,Dell,1202.5992332233445
170,2022-05-31,OnePlus 9,19,1191.780640093202,OnePlus,22643.83216177084
784,2022-06-01,Apple iPhone 12,15,1965.6519107218976,Apple,29484.778660828462
409,2022-06-01,Dell XPS 13,4,1177.90045385259,Dell,4711.60181541036
154,2022-06-02,Apple iPhone 12,18,804.2494561586914,Apple,14476.490210856446
239,2022-06-02,Dell XPS 13,13,824.5407361240709,Dell,10719.029569612921
80,2022-06-02,Asus ZenBook,11,1467.2737879593262,Asus,16140.011667552588
559,2022-06-03,OnePlus 9,18,969.6916773956536,OnePlus,17454.450193121767
680,2022-06-03,HP Spectre x360,17,1140.102175320103,HP,19381.73698044175
630,2022-06-04,Dell XPS 13,12,579.0844867385149,Dell,6949.013840862179
528,2022-06-04,HP Spectre x360,12,772.7722327929569,HP,9273.266793515482
467,2022-06-05,Dell XPS 13,17,1990.544692452434,Dell,33839.25977169138
809,2022-06-05,Lenovo ThinkPad X1 Carbon,17,954.8245890666318,Lenovo,16232.01801413274
828,2022-06-05,Apple MacBook Pro,17,559.2574924401771,Apple,9507.377371483011
981,2022-06-05,HP Spectre x360,12,679.6276789636905,HP,8155.532147564287
847,2022-06-06,Asus ZenBook,1,1293.1842660639068,Asus,1293.1842660639068
514,2022-06-07,Asus ZenBook,4,1382.2535387430007,Asus,5529.014154972003
215,2022-06-09,Apple MacBook Pro,11,1513.1179999257809,Apple,16644.29799918359
671,2022-06-10,Lenovo ThinkPad X1 Carbon,13,868.9214186439818,Lenovo,11295.978442371765
859,2022-06-10,Apple iPhone 12,1,650.3727929210894,Apple,650.3727929210894
897,2022-06-11,Dell XPS 13,1,1127.872836897126,Dell,1127.872836897126
987,2022-06-12,OnePlus 9,19,1786.2557275002075,OnePlus,33938.85882250394
884,2022-06-15,Lenovo ThinkPad X1 Carbon,2,744.8790244236882,Lenovo,1489.7580488473764
202,2022-06-15,Apple MacBook Pro,15,568.9638977678219,Apple,8534.458466517328
803,2022-06-16,Samsung Galaxy S21,15,1290.1758892788741,Samsung,19352.63833918311
377,2022-06-17,Dell XPS 13,13,1836.0374680526854,Dell,23868.48708468491
725,2022-06-18,Lenovo ThinkPad X1 Carbon,4,1465.218709082146,Lenovo,5860.874836328584
823,2022-06-18,Apple MacBook Pro,16,1410.3313284720361,Apple,22565.30125555258
204,2022-06-19,Asus ZenBook,5,1208.4160163568727,Asus,6042.080081784363
200,2022-06-21,Apple iPhone 12,8,1587.6171277738445,Apple,12700.937022190756
364,2022-06-21,Dell XPS 13,17,1836.0002087284013,Dell,31212.00354838282
355,2022-06-21,Apple MacBook Pro,14,1794.3710494027148,Apple,25121.194691638007
844,2022-06-22,Dell XPS 13,15,1150.1190407725708,Dell,17251.785611588562
875,2022-06-23,Apple MacBook Pro,9,865.8740082622205,Apple,7792.866074359985
373,2022-06-25,Lenovo ThinkPad X1 Carbon,2,303.36226292404103,Lenovo,606.7245258480821
456,2022-06-25,Xiaomi Mi 11,2,294.03859465273524,Xiaomi,588.0771893054705
33,2022-06-26,HP Spectre x360,7,431.7366118397184,HP,3022.156282878029
478,2022-06-26,Xiaomi Mi 11,5,1246.3273559101672,Xiaomi,6231.636779550836
947,2022-06-27,Apple iPhone 12,3,1599.964857619374,Apple,4799.894572858122
458,2022-06-27,Asus ZenBook,1,742.2741161360526,Asus,742.2741161360526
159,2022-06-27,Apple MacBook Pro,11,849.0529578588441,Apple,9339.582536447286
850,2022-06-27,Samsung Galaxy S21,19,794.3822061070626,Samsung,15093.261916034191
0,2022-06-29,Asus ZenBook,9,699.7025053304004,Asus,6297.322547973604
389,2022-07-02,Lenovo ThinkPad X1 Carbon,11,1160.2635468847966,Lenovo,12762.899015732763
937,2022-07-02,HP Spectre x360,5,1429.0897602233827,HP,7145.448801116913
122,2022-07-03,Asus ZenBook,7,555.8561993784451,Asus,3890.993395649116
874,2022-07-05,Asus ZenBook,15,930.8615718698647,Asus,13962.923578047972
923,2022-07-05,OnePlus 9,17,1037.7901470805816,OnePlus,17642.432500369887
125,2022-07-05,Apple MacBook Pro,19,1004.7107999734825,Apple,19089.50519949617
14,2022-07-07,Huawei P40,7,1888.239716163818,Huawei,13217.678013146726
207,2022-07-08,Apple iPhone 12,13,696.6994653427632,Apple,9057.093049455922
462,2022-07-08,HP Spectre x360,5,1039.9895870963123,HP,5199.947935481561
335,2022-07-10,Xiaomi Mi 11,3,1251.4911162968883,Xiaomi,3754.473348890665
589,2022-07-10,Apple iPhone 12,15,761.5611229662172,Apple,11423.416844493258
144,2022-07-10,Dell XPS 13,4,1259.275094679847,Dell,5037.100378719388
583,2022-07-11,Apple iPhone 12,1,1150.2365560968228,Apple,1150.2365560968228
799,2022-07-11,OnePlus 9,13,1089.03078903684,OnePlus,14157.40025747892
741,2022-07-12,OnePlus 9,15,1376.1801546460404,OnePlus,20642.702319690605
180,2022-07-12,Asus ZenBook,1,1449.3189347407224,Asus,1449.3189347407224
883,2022-07-13,Apple iPhone 12,8,534.7137764014485,Apple,4277.710211211588
89,2022-07-13,Apple MacBook Pro,12,378.028003766692,Apple,4536.3360452003035
641,2022-07-14,Apple MacBook Pro,15,225.68804221456026,Apple,3385.3206332184036
46,2022-07-14,Apple MacBook Pro,18,1944.8690199137725,Apple,35007.642358447905
931,2022-07-15,Asus ZenBook,13,1698.2936582885425,Asus,22077.817557751052
184,2022-07-17,Apple MacBook Pro,5,1912.6590551346683,Apple,9563.295275673341
425,2022-07-17,OnePlus 9,19,459.4938683137908,OnePlus,8730.383497962026
786,2022-07-18,HP Spectre x360,6,1526.4437575475285,HP,9158.662545285171
22,2022-07-18,Asus ZenBook,1,418.0304485959557,Asus,418.0304485959557
472,2022-07-19,Apple MacBook Pro,3,813.2174641462896,Apple,2439.6523924388684
401,2022-07-20,Apple iPhone 12,17,1296.7619454323492,Apple,22044.953072349937
376,2022-07-21,Huawei P40,15,403.2257799091083,Huawei,6048.386698636625
427,2022-07-22,Samsung Galaxy S21,15,711.5204007024723,Samsung,10672.806010537084
819,2022-07-22,Apple MacBook Pro,12,380.07791197402014,Apple,4560.934943688242
259,2022-07-26,Dell XPS 13,16,400.33219296271966,Dell,6405.315087403515
547,2022-07-26,Apple iPhone 12,17,662.1279943390609,Apple,11256.175903764037
367,2022-07-26,Dell XPS 13,15,304.8280088792209,Dell,4572.420133188313
292,2022-07-26,Apple iPhone 12,4,1939.2566730321614,Apple,7757.026692128646
563,2022-07-26,Dell XPS 13,15,1561.8874791872986,Dell,23428.31218780948
928,2022-07-27,Lenovo ThinkPad X1 Carbon,13,1585.309119238589,Lenovo,20609.018550101657
970,2022-07-28,Dell XPS 13,1,1360.7395520548278,Dell,1360.7395520548278
783,2022-07-28,Apple iPhone 12,1,1639.9066669262882,Apple,1639.9066669262882
222,2022-07-29,Lenovo ThinkPad X1 Carbon,1,1020.0994185848839,Lenovo,1020.0994185848839
972,2022-07-30,Huawei P40,15,620.5152772604799,Huawei,9307.7291589072
411,2022-07-30,Xiaomi Mi 11,16,1469.0309823262796,Xiaomi,23504.495717220474
137,2022-07-30,OnePlus 9,15,1771.6868465409284,OnePlus,26575.302698113926
496,2022-07-30,Apple iPhone 12,13,1751.6335502191998,Apple,22771.236152849597
637,2022-07-31,Xiaomi Mi 11,19,1699.2231010842736,Xiaomi,32285.238920601198
81,2022-07-31,Huawei P40,7,518.9488624712685,Huawei,3632.6420372988796
567,2022-08-01,Samsung Galaxy S21,11,1988.6405465894043,Samsung,21875.046012483446
485,2022-08-02,Huawei P40,14,202.03152054856898,Huawei,2828.4412876799656
172,2022-08-03,Samsung Galaxy S21,19,867.6025620291651,Samsung,16484.448678554138
712,2022-08-03,Samsung Galaxy S21,2,714.669607377179,Samsung,1429.339214754358
698,2022-08-04,Asus ZenBook,9,1326.9391239010374,Asus,11942.452115109336
918,2022-08-04,Asus ZenBook,4,1118.4082889585507,Asus,4473.633155834203
517,2022-08-05,Samsung Galaxy S21,3,1424.1023747388151,Samsung,4272.307124216445
770,2022-08-05,Dell XPS 13,17,248.96451568785625,Dell,4232.396766693556
250,2022-08-06,Lenovo ThinkPad X1 Carbon,3,542.5455984882137,Lenovo,1627.6367954646412
244,2022-08-07,Dell XPS 13,9,1148.8230591998554,Dell,10339.407532798698
196,2022-08-08,Asus ZenBook,16,1514.9578355659896,Asus,24239.325369055834
821,2022-08-08,Samsung Galaxy S21,15,398.74591041400043,Samsung,5981.188656210006
55,2022-08-08,Samsung Galaxy S21,7,835.1801269978134,Samsung,5846.260888984694
833,2022-08-08,Huawei P40,13,464.0610365005879,Huawei,6032.793474507643
957,2022-08-09,Apple iPhone 12,12,857.1469398207985,Apple,10285.763277849583
843,2022-08-10,Lenovo ThinkPad X1 Carbon,2,639.8610113498721,Lenovo,1279.7220226997442
460,2022-08-11,Dell XPS 13,19,901.3806464657285,Dell,17126.232282848843
79,2022-08-12,OnePlus 9,1,672.2652535201544,OnePlus,672.2652535201544
840,2022-08-14,Lenovo ThinkPad X1 Carbon,13,739.8434872587206,Lenovo,9617.965334363369
40,2022-08-15,OnePlus 9,2,1432.6317238702757,OnePlus,2865.2634477405513
700,2022-08-16,OnePlus 9,16,1936.554559097295,OnePlus,30984.87294555672
88,2022-08-16,Apple MacBook Pro,15,609.8771907401547,Apple,9148.15786110232
892,2022-08-16,OnePlus 9,11,1041.1324454451428,OnePlus,11452.456899896571
762,2022-08-17,Apple iPhone 12,1,438.6249260212424,Apple,438.6249260212424
